Date : 2021-04-15 00:36:26
Directory : g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend
Total : 429 files,  91695 codes, 33967 comments, 18207 blanks, all 143869 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\__init__.py                                     | Python     |         14 |          0 |          5 |         19 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\alias.py                                        | Python     |         61 |          2 |         18 |         81 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\bdist_egg.py                                    | Python     |        379 |         42 |         82 |        503 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\bdist_rpm.py                                    | Python     |         28 |         10 |          6 |         44 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\bdist_wininst.py                                | Python     |         14 |          4 |          4 |         22 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\build_clib.py                                   | Python     |         61 |         27 |         11 |         99 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\build_ext.py                                    | Python     |        256 |         33 |         39 |        328 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\build_py.py                                     | Python     |        194 |         40 |         37 |        271 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\develop.py                                      | Python     |        147 |         36 |         39 |        222 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\dist_info.py                                    | Python     |         22 |          4 |         11 |         37 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\easy_install.py                                 | Python     |      1,595 |        443 |        305 |      2,343 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\egg_info.py                                     | Python     |        472 |        127 |        119 |        718 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\install.py                                      | Python     |         84 |         20 |         22 |        126 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\install_egg_info.py                             | Python     |         46 |          5 |         12 |         63 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\install_lib.py                                  | Python     |         71 |         27 |         24 |        122 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\install_scripts.py                              | Python     |         49 |          6 |         11 |         66 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\launcher manifest.xml                           | XML        |         14 |          1 |          1 |         16 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\py36compat.py                                   | Python     |         80 |         39 |         18 |        137 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\register.py                                     | Python     |         14 |          1 |          4 |         19 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\rotate.py                                       | Python     |         54 |          1 |         12 |         67 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\saveopts.py                                     | Python     |         13 |          1 |          9 |         23 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\sdist.py                                        | Python     |        146 |         36 |         40 |        222 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\setopt.py                                       | Python     |        114 |         13 |         23 |        150 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\test.py                                         | Python     |        192 |         34 |         46 |        272 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\upload.py                                       | Python     |        142 |         28 |         27 |        197 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\command\upload_docs.py                                  | Python     |        165 |         17 |         25 |        207 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\config.py                                               | Python     |        361 |        179 |        117 |        657 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\dep_util.py                                             | Python     |         11 |          9 |          4 |         24 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\depends.py                                              | Python     |        104 |         39 |         44 |        187 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\dist.py                                                 | Python     |        784 |        310 |        187 |      1,281 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\extension.py                                            | Python     |         29 |         15 |         14 |         58 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\extern\__init__.py                                      | Python     |         42 |         22 |         10 |         74 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\glibc.py                                                | Python     |         35 |         39 |         13 |         87 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\glob.py                                                 | Python     |        103 |         43 |         29 |        175 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\launch.py                                               | Python     |         18 |         10 |          8 |         36 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\lib2to3_ex.py                                           | Python     |         42 |         10 |         11 |         63 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\monkey.py                                               | Python     |         94 |         48 |         38 |        180 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\msvc.py                                                 | Python     |        686 |        462 |        154 |      1,302 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\namespaces.py                                           | Python     |         76 |         11 |         21 |        108 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\package_index.py                                        | Python     |        795 |        170 |        172 |      1,137 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\pep425tags.py                                           | Python     |        189 |         74 |         57 |        320 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\py27compat.py                                           | Python     |         12 |          7 |         10 |         29 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\py31compat.py                                           | Python     |         19 |          6 |          8 |         33 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\py33compat.py                                           | Python     |         36 |          3 |         21 |         60 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\sandbox.py                                              | Python     |        316 |         76 |        100 |        492 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\site-patch.py                                           | Python     |         57 |          4 |         14 |         75 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\ssl_support.py                                          | Python     |        164 |         52 |         45 |        261 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\unicode_utils.py                                        | Python     |         29 |          5 |         11 |         45 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\version.py                                              | Python     |          5 |          0 |          2 |          7 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\wheel.py                                                | Python     |        172 |         15 |         25 |        212 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\windows_support.py                                      | Python     |         16 |          7 |          7 |         30 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Scripts\Activate.ps1                                                                 | PowerShell |        103 |        239 |         34 |        376 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Scripts\activate.bat                                                                 | Batch      |         24 |          0 |         10 |         34 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Scripts\deactivate.bat                                                               | Batch      |         15 |          0 |          7 |         22 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\pyvenv.cfg                                                                           | Properties |          3 |          0 |          1 |          4 |
| Total                                                                                                                                          |            |     91,695 |     33,967 |     18,207 |    143,869 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
