Date : 2021-04-15 00:36:26
Directory : g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend
Total : 429 files,  91695 codes, 33967 comments, 18207 blanks, all 143869 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_compat.py                         | Python     |         13 |         10 |          8 |         31 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py                     | Python     |         41 |          3 |         25 |         69 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py                         | Python     |        202 |         25 |         75 |        302 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py                    | Python     |         80 |         16 |         32 |        128 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py                      | Python     |        375 |        262 |        138 |        775 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py                           | Python     |          5 |          4 |          6 |         15 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\packaging\version.py                         | Python     |        212 |         95 |         87 |        394 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing.py                                 | Python     |      2,835 |      2,367 |        541 |      5,743 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\_vendor\six.py                                       | Python     |        615 |         88 |        166 |        869 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\extern\__init__.py                                   | Python     |         42 |         22 |         10 |         74 |
