"filename", "language", "Python", "Properties", "Batch", "Markdown", "PLSQL", "XML", "PowerShell", "comment", "blank", "total"
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 83, 0, 0, 0, 0, 0, 0, 6, 13, 102
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 39, 0, 0, 0, 0, 0, 0, 8, 11, 58
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\help.py", "Python", 24, 0, 0, 0, 0, 0, 0, 3, 11, 38
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\install.py", "Python", 453, 0, 0, 0, 0, 0, 0, 48, 80, 581
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\list.py", "Python", 235, 0, 0, 0, 0, 0, 0, 27, 50, 312
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\search.py", "Python", 105, 0, 0, 0, 0, 0, 0, 11, 24, 140
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\show.py", "Python", 122, 0, 0, 0, 0, 0, 0, 20, 27, 169
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\uninstall.py", "Python", 58, 0, 0, 0, 0, 0, 0, 11, 10, 79
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\wheel.py", "Python", 136, 0, 0, 0, 0, 0, 0, 20, 26, 182
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\configuration.py", "Python", 233, 0, 0, 0, 0, 0, 0, 112, 73, 418
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\distributions\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 5, 7, 24
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\distributions\base.py", "Python", 13, 0, 0, 0, 0, 0, 0, 14, 7, 34
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\distributions\installed.py", "Python", 6, 0, 0, 0, 0, 0, 0, 5, 5, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\distributions\source.py", "Python", 51, 0, 0, 0, 0, 0, 0, 19, 11, 81
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\distributions\wheel.py", "Python", 8, 0, 0, 0, 0, 0, 0, 4, 6, 18
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\download.py", "Python", 705, 0, 0, 0, 0, 0, 0, 287, 186, 1178
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\exceptions.py", "Python", 126, 0, 0, 0, 0, 0, 0, 108, 72, 306
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\index.py", "Python", 888, 0, 0, 0, 0, 0, 0, 443, 178, 1509
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\legacy_resolve.py", "Python", 274, 0, 0, 0, 0, 0, 0, 124, 60, 458
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\locations.py", "Python", 88, 0, 0, 0, 0, 0, 0, 30, 25, 143
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\candidate.py", "Python", 24, 0, 0, 0, 0, 0, 0, 4, 9, 37
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\format_control.py", "Python", 54, 0, 0, 0, 0, 0, 0, 7, 13, 74
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\index.py", "Python", 17, 0, 0, 0, 0, 0, 0, 7, 8, 32
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\link.py", "Python", 125, 0, 0, 0, 0, 0, 0, 51, 38, 214
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\search_scope.py", "Python", 70, 0, 0, 0, 0, 0, 0, 27, 17, 114
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\selection_prefs.py", "Python", 20, 0, 0, 0, 0, 0, 0, 21, 7, 48
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\models\target_python.py", "Python", 58, 0, 0, 0, 0, 0, 0, 33, 16, 107
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\operations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\operations\check.py", "Python", 92, 0, 0, 0, 0, 0, 0, 30, 38, 160
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\operations\freeze.py", "Python", 200, 0, 0, 0, 0, 0, 0, 22, 32, 254
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\operations\prepare.py", "Python", 185, 0, 0, 0, 0, 0, 0, 72, 31, 288
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\pep425tags.py", "Python", 220, 0, 0, 0, 0, 0, 0, 98, 67, 385
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\pyproject.py", "Python", 84, 0, 0, 0, 0, 0, 0, 62, 26, 172
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\__init__.py", "Python", 61, 0, 0, 0, 0, 0, 0, 7, 11, 79
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\constructors.py", "Python", 262, 0, 0, 0, 0, 0, 0, 47, 41, 350
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\req_file.py", "Python", 239, 0, 0, 0, 0, 0, 0, 112, 49, 400
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\req_install.py", "Python", 725, 0, 0, 0, 0, 0, 0, 214, 97, 1036
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\req_set.py", "Python", 124, 0, 0, 0, 0, 0, 0, 44, 26, 194
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\req_tracker.py", "Python", 73, 0, 0, 0, 0, 0, 0, 9, 15, 97
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\req\req_uninstall.py", "Python", 414, 0, 0, 0, 0, 0, 0, 132, 88, 634
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\appdirs.py", "Python", 116, 0, 0, 0, 0, 0, 0, 117, 36, 269
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\compat.py", "Python", 158, 0, 0, 0, 0, 0, 0, 91, 45, 294
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\deprecation.py", "Python", 47, 0, 0, 0, 0, 0, 0, 32, 22, 101
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\encoding.py", "Python", 28, 0, 0, 0, 0, 0, 0, 5, 7, 40
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\filesystem.py", "Python", 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\glibc.py", "Python", 52, 0, 0, 0, 0, 0, 0, 49, 20, 121
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\hashes.py", "Python", 61, 0, 0, 0, 0, 0, 0, 44, 24, 129
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\logging.py", "Python", 240, 0, 0, 0, 0, 0, 0, 91, 64, 395
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\marker_files.py", "Python", 12, 0, 0, 0, 0, 0, 0, 4, 5, 21
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\misc.py", "Python", 695, 0, 0, 0, 0, 0, 0, 343, 164, 1202
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\models.py", "Python", 23, 0, 0, 0, 0, 0, 0, 4, 14, 41
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\outdated.py", "Python", 114, 0, 0, 0, 0, 0, 0, 32, 33, 179
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\packaging.py", "Python", 47, 0, 0, 0, 0, 0, 0, 28, 20, 95
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py", "Python", 17, 0, 0, 0, 0, 0, 0, 14, 6, 37
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\temp_dir.py", "Python", 74, 0, 0, 0, 0, 0, 0, 61, 21, 156
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\typing.py", "Python", 1, 0, 0, 0, 0, 0, 0, 27, 2, 30
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\ui.py", "Python", 238, 0, 0, 0, 0, 0, 0, 100, 87, 425
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\utils\virtualenv.py", "Python", 16, 0, 0, 0, 0, 0, 0, 13, 6, 35
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 5, 1, 13
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\bazaar.py", "Python", 74, 0, 0, 0, 0, 0, 0, 8, 20, 102
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\git.py", "Python", 232, 0, 0, 0, 0, 0, 0, 75, 52, 359
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\mercurial.py", "Python", 76, 0, 0, 0, 0, 0, 0, 9, 19, 104
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\subversion.py", "Python", 185, 0, 0, 0, 0, 0, 0, 84, 46, 315
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py", "Python", 308, 0, 0, 0, 0, 0, 0, 214, 79, 601
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\wheel.py", "Python", 703, 0, 0, 0, 0, 0, 0, 288, 135, 1126
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\__init__.py", "Python", 67, 0, 0, 0, 0, 0, 0, 33, 10, 110
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\appdirs.py", "Python", 302, 0, 0, 0, 0, 0, 0, 240, 63, 605
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py", "Python", 35, 0, 0, 0, 0, 0, 0, 4, 19, 58
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py", "Python", 83, 0, 0, 0, 0, 0, 0, 27, 24, 134
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py", "Python", 23, 0, 0, 0, 0, 0, 0, 4, 13, 40
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py", "Python", 88, 0, 0, 0, 0, 0, 0, 30, 29, 147
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py", "Python", 21, 0, 0, 0, 0, 0, 0, 3, 10, 34
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\compat.py", "Python", 20, 0, 0, 0, 0, 0, 0, 3, 7, 30
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py", "Python", 223, 0, 0, 0, 0, 0, 0, 80, 65, 368
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py", "Python", 37, 0, 0, 0, 0, 0, 0, 27, 17, 81
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py", "Python", 69, 0, 0, 0, 0, 0, 0, 32, 35, 136
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py", "Python", 103, 0, 0, 0, 0, 0, 0, 47, 37, 187
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\certifi\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\certifi\__main__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\certifi\core.py", "Python", 4, 0, 0, 0, 0, 0, 0, 7, 5, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 0, 22, 5, 40
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\big5freq.py", "Python", 340, 0, 0, 0, 0, 0, 0, 41, 6, 387
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\big5prober.py", "Python", 16, 0, 0, 0, 0, 0, 0, 26, 6, 48
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\chardistribution.py", "Python", 131, 0, 0, 0, 0, 0, 0, 73, 30, 234
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\charsetgroupprober.py", "Python", 72, 0, 0, 0, 0, 0, 0, 26, 9, 107
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\charsetprober.py", "Python", 56, 0, 0, 0, 0, 0, 0, 67, 23, 146
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\cli\chardetect.py", "Python", 43, 0, 0, 0, 0, 0, 0, 32, 11, 86
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\codingstatemachine.py", "Python", 29, 0, 0, 0, 0, 0, 0, 50, 10, 89
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\compat.py", "Python", 11, 0, 0, 0, 0, 0, 0, 20, 4, 35
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\cp949prober.py", "Python", 16, 0, 0, 0, 0, 0, 0, 28, 6, 50
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_vendor\chardet\enums.py", "Python", 35, 0, 0, 0, 0, 0, 0, 28, 14, 77
